station_id,station_name,neighborhood,population_density,unibo_attraction
74,Sacro Cuore,Centro,8500,0.0
75,Piazza dei Martiri,Centro,8500,0.0
76,Via Marconi,Centro,9500,0.0
77,Ugo Bassi,Centro,8500,0.0
78,Due Torri,Centro,8500,0.0
79,Strada Maggiore,Centro,8500,0.0
80,Torleone,Centro,8500,0.0
81,Porta Maggiore,Centro,8500,0.0
82,Albertoni,San Donato,5500,0.0
83,Alemanni,San Donato,5500,0.0
84,Laura Bassi,San Donato,5500,0.0
85,Fermi,Savena,6500,0.0
86,Mazzini Stazione,Savena,6500,0.0
87,Pontevecchio,Savena,6500,0.0
88,Bitone,Savena,6500,0.0
89,Sardegna,Savena,6500,0.0
90,Calabria,Savena,6500,0.0
91,Milano,Savena,6500,0.0
92,Chiesa San Lorenzo,Savena,6500,0.0
93,Mazzoni,Savena,6500,0.0
94,Longo Cavazzoni,Savena,6500,0.0
95,Longo,Savena,6500,0.0
96,Piazzale Atleti Azzurri,Savena,6500,0.0
97,Bitone,Savena,6500,0.0
98,Pontevecchio,Savena,6500,0.0
99,Fermi,Savena,6500,0.0
100,Alemanni,San Donato,5500,0.0
101,Porta Mazzini,San Donato,5500,0.0
102,Porta San Donato,Centro,8500,0.0
103,Irnerio,Centro,8500,0.0
104,Sferisterio,Centro,8500,0.0
105,Bolognina,Centro,8500,0.0
106,Bolognese,Centro,8500,0.0
107,Fioravanti,Centro,8500,0.0
108,Fondo Comini,Navile,5000,0.0
109,Arcoveggio Chiesa,Navile,5000,0.0
110,Palestra Ippodromo,Navile,5000,0.0
111,Villa Erbosa,Navile,5000,0.0
112,Navile,Navile,5000,1.0
113,LAUS Ingegneria,Navile,5000,1.0
114,Cooperazione,Navile,5000,0.0
115,Don Bedetti,Navile,5000,0.0
116,Lapidari,Navile,5000,0.0
117,Genova,Savena,6500,0.0
118,Centro Civico Mazzini,Savena,6500,0.0
119,Bellaria Lombardia,Savena,6500,0.0
120,Bertalia,Navile,5000,0.0
121,Lazzaretto,Navile,5000,1.0
122,Agucchi,Navile,5000,0.0
123,Pescarola,Navile,5000,0.0
124,Selva Pescarola,Navile,5000,0.0
125,Zanardi,Navile,5000,0.0
126,Pane,Navile,5000,0.0
127,De Gama,Navile,5000,0.0
128,Marco Polo,Navile,5000,0.0
129,Gagarin,Navile,5000,0.0
130,Navile,Navile,5000,0.0
131,Rotonda Gobetti,Navile,5000,0.0
132,Bolognina,Centro,8500,0.0
133,Via Ugo Bassi,Centro,8500,0.0
134,Fondazza,Centro,8500,0.0
135,Piazza Trento Trieste,San Donato,5500,0.0
136,Savioli,San Donato,5500,0.0
137,Mezzofanti,Santo Stefano,6000,0.0
138,Albini,Santo Stefano,6000,0.0
139,Largo Lercaro,Santo Stefano,6000,0.0
140,Orti,Savena,6500,0.0
141,Lunetta Gamberini,Savena,6500,0.0
142,Po,Savena,6500,0.0
143,Torino,Savena,6500,0.0
144,Armi,Savena,6500,0.0
145,Marcello,Savena,6500,0.0
146,Corticelli,Savena,6500,0.0
147,Corelli,Savena,6500,0.0
148,Rotonda Corelli,Savena,6500,0.0
149,ITC Luxemburg,Porto-Saragozza,6000,0.0
150,Corticella Stazione,Navile,5000,0.0
151,Casa Buia,Navile,5000,0.0
152,Cavazzoni,Savena,6500,0.0
153,Cherubini,Savena,6500,0.0
154,Gubellini,Savena,6500,0.0
155,Battaglia,Savena,6500,0.0
156,Albornoz,Savena,6500,0.0
157,San Ruffillo Stazione,Savena,6500,0.0
158,Mario,Savena,6500,0.0
159,Ponticella,Savena,6500,0.0
160,Ponticella Brizzi,Savena,6500,0.0
161,Savioli,Santo Stefano,6000,0.0
162,Piazza Malpighi,Centro,8500,0.0
163,Sant'Isaia,Porto-Saragozza,6000,0.0
164,Nosadella,Porto-Saragozza,6000,0.0
165,Collegio Di Spagna,Centro,8500,0.0
166,Urbana,Centro,8500,0.0
167,Carteria Scuole,Santo Stefano,6000,0.0
168,Carteria Chiesa,Santo Stefano,6000,0.0
169,Carteria di Sesto,Santo Stefano,6000,0.0
170,Riolo,Santo Stefano,6000,0.0
171,Rastignano,Santo Stefano,6000,0.0
172,Rastignano Stazione,Santo Stefano,6000,0.0
173,Rastignano Paleotto,Santo Stefano,6000,0.0
174,Piazza Giovanni XXIII,Borgo Panigale,4500,0.0
175,Treno,Borgo Panigale,4500,0.0
176,Rigola,Borgo Panigale,4500,0.0
177,Buozzi,Borgo Panigale,4500,0.0
178,Barca,Borgo Panigale,4500,0.0
179,Belcantone,Borgo Panigale,4500,0.0
180,Barca,Borgo Panigale,4500,0.0
181,Ghisello,Borgo Panigale,4500,0.0
182,Certosa,Borgo Panigale,4500,0.0
183,Lino,Borgo Panigale,4500,0.0
184,Stadio Dall'Ara,Borgo Panigale,4500,0.0
185,Magnani,Porto-Saragozza,6000,0.0
186,Martini,Porto-Saragozza,6000,0.0
187,Crocetta,Porto-Saragozza,6000,0.0
188,San Paolo di Ravone,Porto-Saragozza,6000,0.0
189,Andrea Costa,Porto-Saragozza,6000,0.0
190,Porta Sant'Isaia,Porto-Saragozza,6000,0.0
191,Massarenti,San Donato,7000,0.0
192,Rimesse Stazione,San Donato,5500,0.0
193,Massarenti,San Donato,7000,0.0
194,Massarenti Sottovia,San Donato,7000,0.0
195,Giambologna,San Donato,5500,0.0
196,Tangenziale San Vitale,San Donato,5500,0.0
197,Piazza Dei Colori,San Donato,5500,0.0
198,Stop_11931571601,San Donato,5500,0.0
199,Martelli,San Donato,5500,0.0
200,Croce Del Biacco,San Donato,5500,0.0
201,Canova,San Donato,5500,0.0
202,Deposito Due Madonne 2,San Donato,5500,0.0
203,Santa Rita,San Donato,5500,0.0
204,Triachini,San Donato,5500,0.0
205,Sant'Orsola Medicina,San Donato,5500,1.0
206,Ospedale Sant'Orsola,San Donato,5500,0.0
207,Larga,San Donato,5500,0.0
208,Larga Stazione,San Donato,5500,0.0
209,Innocenti,San Donato,5500,0.0
210,Enzo Ferrari,San Donato,5500,0.0
211,Industria,San Donato,5500,0.0
212,Carpentiere,San Donato,5500,0.0
213,Pilastro Vecchio,San Donato,7000,0.0
214,C.S. Record,San Donato,5500,0.0
215,Svevo,San Donato,5500,0.0
216,Sighinolfi,San Donato,5500,0.0
217,Pilastro,San Donato,7000,0.0
218,Pirandello,San Donato,5500,0.0
219,Cadriano Bivio,San Donato,5500,0.0
220,Bivio Pilastro,San Donato,7000,0.0
221,Larga Stazione,San Donato,5500,0.0
222,Carrozzaio,San Donato,5500,0.0
223,Ceramista,San Donato,5500,0.0
224,Cerodolo,San Donato,5500,0.0
225,Elettricista,San Donato,5500,0.0
226,Fonditore,San Donato,5500,0.0
227,Fresatore,San Donato,5500,0.0
228,Muratore,San Donato,5500,0.0
229,Rotonda Acqua Fresca,San Donato,5500,0.0
230,Vetraio,San Donato,5500,0.0
231,Rotonda Negroni,San Donato,5500,0.0
232,Rotonda Acqua Fresca,San Donato,5500,0.0
233,Mille,Centro,8500,0.0
234,Irnerio,Centro,8500,0.0
235,Zanolini - Casa delle Donne,Centro,8500,0.0
236,Casteldebole,Borgo Panigale,4500,0.0
237,Rotta,Borgo Panigale,4500,0.0
238,Salvemini,Borgo Panigale,4500,0.0
239,Galeazza,Borgo Panigale,4500,0.0
240,Casteldebole,Borgo Panigale,4500,0.0
241,La Malfa,Borgo Panigale,4500,0.0
242,Einaudi,Borgo Panigale,4500,0.0
243,Borgo Panigale,Borgo Panigale,4500,0.0
244,Centro Vittoria,Borgo Panigale,4500,0.0
245,Togliatti,Borgo Panigale,4500,0.0
246,Cividali,Borgo Panigale,4500,0.0
247,Marzabotto,Porto-Saragozza,6000,0.0
248,Ospedale Maggiore,Porto-Saragozza,6000,0.0
249,Timavo,Porto-Saragozza,6000,0.0
250,Saffi,Porto-Saragozza,6000,0.0
251,Porta San Felice,Porto-Saragozza,6000,0.0
252,Villa Laura,Savena,6500,0.0
253,Emilia Calabria,Savena,6500,0.0
254,Villaggio Due Madonne,Savena,6500,0.0
255,Parco Dei Cedri,Savena,6500,0.0
256,San Lazzaro Fiume Savena,Savena,6500,0.0
257,San Lazzaro Villa Rodriguez,Savena,6500,0.0
258,San Lazzaro di Savena,Savena,6500,0.0
259,San Lazzaro Jussi,Savena,6500,0.0
260,San Lazzaro Di Vittorio,Savena,6500,0.0
261,San Lazzaro Kennedy,Savena,6500,0.0
262,San Lazzaro Piscina Kennedy,Savena,6500,0.0
263,San Lazzaro Kennedy Scornetta,Savena,6500,0.0
264,San Lazzaro Pertini,Savena,6500,0.0
265,San Felice,Porto-Saragozza,6000,0.0
266,Arno,Savena,6500,0.0
267,Lame,Centro,8500,0.0
268,Rondone,Porto-Saragozza,6000,0.0
269,Palasport,Porto-Saragozza,6000,0.0
270,Saffi,Porto-Saragozza,6000,0.0
271,Chiesa Certosa,Borgo Panigale,4500,0.0
272,Caselle Gramsci,Savena,6500,0.0
273,Caselle Speranza,Savena,6500,0.0
274,Caselle Cà Ricchi,Savena,6500,0.0
275,San Lazzaro Stazione,Savena,6500,0.0
276,Cicogna Fondazione Cirulli,Savena,6500,0.0
277,San Lazzaro Cimitero,Savena,6500,0.0
278,Idice,Savena,6500,0.0
279,Idice Tre Ponti,Savena,6500,0.0
280,Cicogna Fondazione Cirulli,Savena,6500,0.0
281,San Lazzaro Giovanni XXIII,Savena,6500,0.0
282,Cicogna Fantini,Savena,6500,0.0
283,Cicogna Donini,Savena,6500,0.0
284,Cicogna Viganò,Savena,6500,0.0
285,Pio La Torre,Savena,6500,0.0
286,Rotonda Pulce,Savena,6500,0.0
287,San Camillo,Savena,6500,0.0
288,Casalecchio Marconi,Porto-Saragozza,7000,0.0
289,Casalecchio Chiusa,Porto-Saragozza,6000,0.0
290,Casalecchio San Martino,Porto-Saragozza,6000,0.0
291,Casalecchio Villa Chiara,Porto-Saragozza,6000,0.0
292,Croce,Borgo Panigale,4500,0.0
293,Croce Luna,Borgo Panigale,4500,0.0
294,Treves,Borgo Panigale,4500,0.0
295,Don Sturzo,Borgo Panigale,4500,0.0
296,Villa Spada,Borgo Panigale,4500,1.0
297,Dello Sport,Borgo Panigale,4500,0.0
298,Bivio San Luca,Borgo Panigale,4500,0.0
299,Meloncello,Porto-Saragozza,6000,0.0
300,Villa Spada,Porto-Saragozza,6000,0.0
301,Villa Benni,Porto-Saragozza,6000,0.0
302,Orsoni,Porto-Saragozza,6000,0.0
303,San Giuseppe,Porto-Saragozza,6000,0.0
304,Farini,Centro,8500,0.0
305,Sant'Egidio,Centro,8500,0.0
306,Mercato San Donato,San Donato,5500,0.0
307,Artigiano,San Donato,5500,0.0
308,Magazzari,San Donato,5500,0.0
309,Giardino Gino Cervi,San Donato,5500,0.0
310,Sirenella,San Donato,5500,0.0
311,San Donnino,San Donato,5500,0.0
312,Panzini,San Donato,5500,0.0
313,Deledda,San Donato,5500,0.0
314,Stazione Casalecchio Garibaldi,Porto-Saragozza,6000,0.0
315,Casalecchio Piave,Porto-Saragozza,6000,0.0
316,Casalecchio Garibaldi,Porto-Saragozza,6000,0.0
317,Rotonda Malaguti,Borgo Panigale,4500,0.0
318,Crocefissi,Borgo Panigale,4500,0.0
319,Porta Saragozza,Porto-Saragozza,6000,0.0
320,San Biagio Resistenza,Porto-Saragozza,6000,0.0
321,San Biagio Cefalonia,Porto-Saragozza,6000,0.0
322,San Biagio Micca,Porto-Saragozza,6000,0.0
323,Casalecchio C.S. Allende,Porto-Saragozza,6000,0.0
324,Casalecchio Ronzani,Porto-Saragozza,6000,0.0
325,Casalecchio Lido,Porto-Saragozza,6000,0.0
326,Casalecchio Stazione,Porto-Saragozza,6000,0.0
327,Agraria Cadriano,San Donato,1500,0.8
328,Pilastro,San Donato,7000,0.0
329,San Donato,San Donato,5500,0.0
330,Casalecchio Lido,Porto-Saragozza,6000,0.0
331,Casalecchio Cristoni,Porto-Saragozza,6000,0.0
332,Meridiana Cristoni,Porto-Saragozza,6000,0.0
333,Indipendenza Mille,Centro,8500,0.0
334,Terracini,Porto-Saragozza,6000,0.0
335,Santa Viola,Porto-Saragozza,6000,0.0
336,Ospedale Maggiore,Porto-Saragozza,6000,0.0
337,Creti,Centro,8500,0.0
338,Stalingrado,Centro,8500,0.0
339,Stalingrado Parri,Centro,8500,0.0
340,Fiera Palazzo Congressi,San Donato,5500,0.0
341,Fiera Aldo Moro,San Donato,5500,0.0
342,Aldo Moro,San Donato,5500,0.0
343,Piazza Spadolini,San Donato,5500,0.0
344,Ferravilla,San Donato,5500,0.0
345,Scalo San Donato,San Donato,5500,0.0
346,Facoltà di Agraria,San Donato,1500,0.0
347,FICO Eataly World,San Donato,5500,0.0
348,Facoltà di Agraria,San Donato,1500,0.0
349,Ospedale Maggiore,Porto-Saragozza,6000,0.0
350,Bombicci,Savena,6500,0.0
351,Pomponazzi,Savena,6500,0.0
352,Allende,Savena,6500,0.0
353,Marx,San Donato,5500,0.0
354,Istituto Manfredi Tanari,San Donato,5500,0.0
355,Etruria,San Donato,5500,0.0
356,Spina,San Donato,5500,0.0
357,Mazzini Stazione,San Donato,5500,0.0
358,Azzurra,San Donato,5500,0.0
359,Arcobaleno,San Donato,5500,0.0
360,Arpa,San Donato,5500,0.0
361,Palagi,San Donato,5500,0.0
362,Cirenaica,San Donato,5500,0.0
363,Masia,San Donato,5500,0.0
364,Sant'Egidio,San Donato,5500,0.0
365,Cavalcavia San Donato,San Donato,5500,0.0
366,Matteotti Alta Velocità,Centro,8500,0.0
367,Battiferro,Centro,8500,0.0
368,Gobetti,Navile,5000,0.0
369,Rotonda C.N.R.,Navile,5000,0.0
370,Masia,San Donato,5500,0.0
371,Arpa,San Donato,5500,0.0
372,Bottego,Navile,5000,0.0
373,Beverara,Navile,5000,0.0
374,Pellegrino,Navile,5000,0.0
